sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
TEA_B564:AG884	1	1677	37.09004174120453	3f8e1e46a90a876f52a38cadc0fd99c9	-	-	-	-	-	-	-	-	non-mobilizable	CP034391	0.0257292	Escherichia coli	AG884	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_B596:AA474	1	65570	50.90742717706268	5494cc3cb080740b685d4ca4fdbd1054	-	-	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	JN253636	conjugative	CP010831	0.0318865	Shigella sonnei	AA474	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_B596:AA315	4	67526	50.19992299262506	5b4e3bf7b01c288e8a5a14d35e29aa1b	IncFIA,IncFIC	CP022610_00144,AP001918	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017054_00096,NC_019037_00027,NC_010488_00021,NC_010719_00097,NC_010719_00096,NC_013437_00116,08-5333_00200	MOBF	CP015086	conjugative	CP013026	0.0466675	Escherichia coli	AA315	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_B596:AA378	8	98807	47.17277115993806	22d06edc2a31b53b696da3a511b4cded	IncY	000230__CP009168_00001	-	-	-	-	-	-	non-mobilizable	CP012491	0.0216393	Escherichia coli	AA378	AI389	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	28031198
TEA_B596:AF232	2	9851	53.3752918485433	2138c61ea45e7d8af2f7d08770d16be1	-	-	-	-	-	-	-	-	non-mobilizable	CP034740	0.0378117	Escherichia coli	AF232	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_B620:AA378	9	144209	49.58081673127197	296a2c310a7b5939c20f14d1f19d8245	IncHI1B	000138__CP021336_00001	-	-	-	-	-	-	non-mobilizable	CP028125	0.0343598	Escherichia coli O26 str. RM10386	AA378	-	order	Enterobacterales	order	Enterobacterales	genus	Salmonella	18606786
TEA_B620:AG884	1	2485	37.06237424547284	cff35626b2415df27c758513966f4b4c	-	-	-	-	-	-	-	-	non-mobilizable	CP034391	0.0150285	Escherichia coli	AG884	AQ940	genus	Escherichia	genus	Escherichia	-	-	-
TEA_B620:AC510	1	7992	47.309809809809806	24e5137ea4e8733b36551767fb236665	rep_cluster_2350	CP041342_00001	MOBP	NC_022662_00003	-	-	MOBP	CP010136	mobilizable	CP010128	0.0258115	Escherichia coli	AC510	-	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
TEA_B620:AA476	1	25563	53.96080272268513	16ee47a51829e6fb0af3871d274f47c4	-	-	MOBP	CP034821_00094	-	-	-	-	mobilizable	CP031897	0.0503867	Escherichia coli O113:H21	AA476	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_B706:AA281	37	146617	51.14072720080209	3abdfde57516a9d2ea6e72adc8f9294e	Col(MG828)	NC_008486	MOBP,MOBP	CP023144_00056,NC_021819_00066	MPF_I	NC_007365_00035,NC_011754_00109,NC_007365_00033,NC_022371_00084,NC_012487_00131,NC_014843_00033,NC_011754_00087,NC_014843_00047	MOBP	CP018984	conjugative	CP033633	0.0136496	Escherichia coli	AA281	AI107	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
TEA_B706:AA178	14	86097	50.69282321102942	5e20f7a42e1fd0aaf70f42c5dbd88165	IncFIA,IncFIC	CP042629_00001,AY458016	MOBF	NC_017627_00068	MPF_F	08-5333_00200,NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116	MOBF	NZ_ALIR01000021	conjugative	CP019909	0.0284967	Escherichia coli	AA178	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_B706:AA176	4	48586	45.716873173342115	d0601094abc233622a26e55ab53184c6	IncFIB	000095__NZ_CP014273_00094	-	-	-	-	-	-	non-mobilizable	NC_018966	0.0590885	Salmonella enterica subsp. enterica serovar Kentucky	AA176	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
TEA_B706:AB002	14	95078	47.499947411598896	e0b5f5042942228b525bfef4496f8cf6	rep_cluster_1704	001113__CP011430_00070	-	-	-	-	-	-	non-mobilizable	AP018576	0.0329357	Escherichia coli	AB002	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_B706:AA378	14	91863	48.05743335183915	4615daebe56a6b553071d246e346e0ce	IncY	000230__CP009168_00001	-	-	-	-	-	-	non-mobilizable	CP032939	0.0253218	Escherichia coli	AA378	-	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	28031198
TEA_B706:AB595	1	4395	49.87485779294653	f4ec55dd26310b175580ac775b0d73a8	-	-	-	-	-	-	-	-	non-mobilizable	LT985307	0.0430292	Escherichia coli	AB595	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_B706:AC305	2	23385	44.96472097498396	7cdfe9509374203302c92a632f2aa353	IncX2	000219__NC_005923_00001	MOBP	NC_019047_00022	-	-	MOB_unknown	NC_013390	mobilizable	LT827129	0.0335842	Escherichia coli	AC305	-	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	9218765; 22470007
TEA_B706:AC510	1	9124	47.45725558965366	81949adeeb9c89d196cfa045180d7c2c	ColRNAI_rep_cluster_1857,rep_cluster_2370	GU949535_00001,CP033698_00001	MOBP	NC_019076_00002	-	-	MOBP	NC_017657	mobilizable	CP032881	0.000880953	Escherichia coli	AC510	AL727	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_B706:AA974	1	6050	41.96694214876033	8bb84e4575aa95c70b2ffb727a58bea1	Col156	CP001126_00001	MOBQ	NC_019062_00002	-	-	-	-	mobilizable	CP001126	0.0588483	Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633	AA974	-	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
TEA_B706:AA579	1	5868	46.69393319700068	19a97ff31202fd4e774be697288d49cb	rep_cluster_1778,rep_cluster_1778	001198__NC_010486_00001,001201__CP010878_00001	MOBQ	NC_011411_00002	-	-	MOBQ,MOBQ	NC_013327,NC_009791	mobilizable	KT693145	0.0460045	Escherichia coli	AA579	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_B706:AE818	1	3990	50.87719298245614	53999decf15bdebae089c3a86d0b8bef	-	-	MOBP	KU302805_00002	-	-	-	-	mobilizable	KU302805	0.059819	Enterobacter cloacae	AE818	-	genus	Enterobacter	genus	Enterobacter	-	-	-
TEA_B706:AD482	1	3508	46.92132269099202	0452965c54a2ed2e483886f4694b2f2e	ColRNAI_rep_cluster_1857,rep_cluster_2370	GU949535_00001,EU580135_00003	-	-	-	-	MOBF,MOBP,MOB_unknown	CP016713,NZ_CP016526,NC_019986	mobilizable	CP033763	0.00524853	Escherichia coli	AD482	AN053	genus	Escherichia	genus	Escherichia	-	-	-
TEA_B706:AE763	1	2820	56.45390070921986	5bf93f9dc3a8614495ccf32d89d71ecc	-	-	-	-	-	-	MOBP	CP018984	mobilizable	CP039589	0.0223484	Salmonella enterica subsp. enterica	AE763	AO607	genus	Salmonella	genus	Salmonella	-	-	-
TEA_B721:AA747	1	108853	46.10529797065767	25a5975aa46be34b532384d276f21e5a	rep_cluster_488	001852__AP017612_00001	-	-	-	-	-	-	non-mobilizable	AP017612	0.0238299	Escherichia coli	AA747	AJ077	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_B721:AC206	1	107210	51.793675963063144	c9b216573972c4e9ff2c19ac1a2aec2a	IncFII,IncFII	AJ851089,000111__NZ_CP011595_00114	MOBF	NC_019125_00139	MPF_F	NC_019342_00064,NZ_AGTD01000004_00091,NC_021871_00025,NC_021871_00022,NC_021871_00021,NC_021871_00019,NC_021871_00018,NC_021871_00015,NC_019125_00135,NZ_AGTD01000004_00094,NC_021817_00013,NC_009790_00086	-	-	conjugative	CP017992	0.0145592	Enterobacter cloacae complex sp. ECNIH7	AC206	AL302	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_B721:AG884	1	2660	36.31578947368421	509da38c09dfce6c2a8c6983bd261b3c	-	-	-	-	-	-	-	-	non-mobilizable	CP034391	0.0210181	Escherichia coli	AG884	AQ940	genus	Escherichia	genus	Escherichia	-	-	-
TEA_B745:AA474	5	98157	49.14881261652251	7f68340926290148c0031c1b8f9dc3a3	IncFIA,IncI-gamma/K1	AF250878,MF344577	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_019097_00085,NZ_CM001473_00069,NC_022267_00069,NC_019097_00075,NC_015965_00072,NC_023290_00086,NC_019111_00038,NC_022267_00057	MOBP	HM021326	conjugative	CP029837	0.00590877	Salmonella enterica subsp. enterica serovar Typhimurium	AA474	AI598	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_B745:AA181	1	48615	53.172889026020776	7012fa63181c7631ca4441deac890226	-	-	MOBF	CP030197_00146	MPF_F	NC_011413_00056,NC_011413_00058,NC_011413_00063,NC_011413_00064,NC_011413_00068,NC_011413_00069,NC_011413_00074,NC_011413_00075,NC_011413_00060,NC_011413_00080	-	-	conjugative	CP032813	0.0320933	Escherichia coli	AA181	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_B745:AF232	3	10560	48.10606060606061	09776ec620b697fc0e7394ded23e5e54	-	-	-	-	-	-	-	-	non-mobilizable	CP034740	0.0239063	Escherichia coli	AF232	AP155	genus	Escherichia	genus	Escherichia	-	-	-
TEA_B749:AF232	2	8831	53.357490657909636	34ce4a18e0ace72e7a83b2a744135e1c	-	-	-	-	-	-	-	-	non-mobilizable	CP034740	0.0321972	Escherichia coli	AF232	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_B749:AA304	3	55391	50.060479139210344	883ca34977070eceb8226dad9f6e6bf7	IncFIA	CP022610_00144	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	-	-	conjugative	MF370216	0.0334751	Escherichia coli	AA304	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 24247128; 20851899; 22511964
TEA_B749:novel_6d209da3001910ad9849b2929c05d45e	1	36829	49.175921149094464	6d209da3001910ad9849b2929c05d45e	IncFIB	000096__NC_019117_00097	-	-	-	-	-	-	non-mobilizable	CP025905	0.0603145	Escherichia coli	novel_6d209da3001910ad9849b2929c05d45e	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
TEA_B764:AA315	2	79979	49.94185973818127	f4996f41c827035369b3555c8fe447c7	IncFIA	000136__AP014877_00014	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_019037_00027,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	CP015086	conjugative	MK092064	0.045678	Escherichia coli	AA315	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 24247128; 20851899; 22511964
TEA_B764:AG884	1	3030	34.95049504950495	c833c495ca5d71e65e5d59d7a29a9005	-	-	-	-	-	-	-	-	non-mobilizable	CP034391	0.023602	Escherichia coli	AG884	AQ940	genus	Escherichia	genus	Escherichia	-	-	-
TEA_B764:AA903	2	8384	47.61450381679389	977273ff07ab328e232ce77b4dcd72f4	-	-	-	-	-	-	-	-	non-mobilizable	CP019138	0.052117	Brevirhabdus pacifica	AA903	-	genus	Brevirhabdus	genus	Brevirhabdus	-	-	-
TEA_B771:AB440	1	7392	47.14556277056277	e9ff425da49b37ffdb221b0c001116a7	rep_cluster_2350,rep_cluster_2370	CP035723_00002,CP033698_00001	MOBP	NC_022662_00003	-	-	MOBP	NC_017657	mobilizable	CP016009	0.0307758	Escherichia coli	AB440	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_B771:AA474	3	95813	49.572604970098006	58d3e58fc2d7c16fcce5f8f7b6bee93d	IncI-gamma/K1	CP003290	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	JN253636	conjugative	CP019215	0.0238299	Escherichia coli	AA474	AI611	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
TEA_B771:AG294	2	25008	52.3712412028151	4cd526d0864b9222a3d877c7f9e9022d	-	-	-	-	-	-	-	-	non-mobilizable	CP019906	0.0319897	Escherichia coli	AG294	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_B771:AA321	5	90375	49.582295988934995	b2a867ca8ec4b2729d05c456a66554ee	IncFIA	CP010126_00145	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	-	-	conjugative	CP019456	0.0393656	Escherichia coli	AA321	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 24247128; 20851899; 22511964
TEA_B771:AA183	2	22433	51.86109749030446	7ecd5b32f3dca468354e85d69e7e948e	-	-	-	-	-	-	-	-	non-mobilizable	CP025867	0.0547827	Escherichia coli	AA183	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_B771:AG799	1	3475	48.05755395683453	276fb0ed637aa93c0fe3705abcaa0e7d	IncFIB	000095__NZ_CP014273_00094	-	-	-	-	-	-	non-mobilizable	AY230888	0.0194352	Escherichia coli	AG799	AQ855	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
TEA_B771:AG884	1	2635	36.43263757115749	878ba45317820fe10b8df0e4d6ec787e	-	-	-	-	-	-	-	-	non-mobilizable	CP034391	0.0200822	Escherichia coli	AG884	AQ940	genus	Escherichia	genus	Escherichia	-	-	-
TEA_B778:AB266	51	226107	47.258598804990555	5a8b44794ca829f06a8a53a7c2673541	IncFIA,IncFIB	CP012501_00008,000095__NZ_CP014273_00094	MOBF,MOBF	CP023471_00010,NC_017627_00068	MPF_F	NC_013121_00043,NC_022651_00077,NC_017639_00094,NC_019094_00090,NC_007675_00027,NC_017054_00096,NC_019037_00027,NC_019094_00068,NC_019037_00027,NC_019094_00068,NC_007675_00027,NC_017054_00096,NC_017639_00094,NC_007675_00027,NC_017054_00096,NC_010719_00097	MOBF,MOBF	NZ_CP011049,CP015086	conjugative	CP012500	0.0142518	Escherichia coli	AB266	AJ973	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
TEA_B778:AD485	1	4892	42.92722812755519	1fce53cb08738ddf4e4281bbc9eed605	rep_cluster_2350	CP035723_00002	-	-	-	-	MOBP	KF992024	mobilizable	CP038794	0.0224927	Escherichia coli	AD485	AN056	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
TEA_B778:AF232	1	5657	55.471097754993814	62dc0588c12cc5777db0680550ab1b6d	-	-	-	-	-	-	-	-	non-mobilizable	CP034740	0.0485634	Escherichia coli	AF232	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_B778:AG294	1	10766	51.95058517555267	269e0e80515bbfae8110c18e41ce2582	-	-	-	-	-	-	-	-	non-mobilizable	CP019906	0.0511448	Escherichia coli	AG294	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_B778:AG884	1	2411	34.59145582745749	5f349b7a2d4eef3e50bf26b77abe048e	-	-	-	-	-	-	-	-	non-mobilizable	CP034391	0.0145076	Escherichia coli	AG884	AQ940	genus	Escherichia	genus	Escherichia	-	-	-
TEA_B811:novel_4930921f1584b7012dca3acb9365e170	7	72303	47.4945714562328	4930921f1584b7012dca3acb9365e170	-	-	MOBF	CP029997_00085	MPF_F	NC_014108_00057,NC_014108_00059,NC_014108_00109,NC_014108_00062,NC_014108_00064,NC_014108_00068	-	-	conjugative	CP029997	0.0994698	Salmonella enterica subsp. salamae	novel_4930921f1584b7012dca3acb9365e170	-	genus	Salmonella	genus	Salmonella	-	-	-
TEA_B811:AF232	1	5319	54.82233502538071	e1cf2948087f9368e2edb6b15bf33c30	-	-	-	-	-	-	-	-	non-mobilizable	CP034740	0.0590885	Escherichia coli	AF232	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_B868:AA374	26	107380	46.67442726764761	bcb63c8a9f1bb59e4b545f6c2421ff78	IncHI1B,IncHI1B	JX182975,000138__CP021336_00001	MOBH	CP030285_00102	-	-	-	-	mobilizable	CP029181	0.0206126	Escherichia coli	AA374	AI357	order	Enterobacterales	order	Enterobacterales	genus	Salmonella	18606786
TEA_B868:AA749	4	65513	48.18127699845832	4b8c0af83baed0809dc9597904a2a205	IncFIB	000103__CP010244_00032	-	-	-	-	-	-	non-mobilizable	CP010244	0.0478612	Escherichia coli	AA749	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
TEA_B868:AD548	1	10738	48.00707766809462	535f786646da524a6901a31394c54a31	-	-	-	-	-	-	-	-	non-mobilizable	CP025042	0.0442483	Klebsiella pneumoniae	AD548	-	genus	Klebsiella	genus	Klebsiella	-	-	-
TEA_B894:AA738	20	201712	44.39894503053859	50c653adb8966e672b590eec3bee7443	IncHI2A,rep_cluster_1088	BX664015,000340__KU353730	MOBH	NC_012555_00231	MPF_F	NC_005211_00200,NC_005211_00207,NC_009838_00006,NC_005211_00005,NC_005211_00030,NC_021845_00017,NC_005211_00012	MOBH	NZ_CP011605	conjugative	MN232195	0.00328537	Escherichia coli	AA738	AJ047	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	20851899
TEA_B894:AA747	5	113383	46.21504105553743	0aae35ac62844abd71d3435fbb8bd47e	rep_cluster_488	001852__AP017612_00001	-	-	-	-	-	-	non-mobilizable	CP022167	0.00128842	Escherichia coli	AA747	AJ078	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_B894:AF232	1	3117	63.74719281360282	8490b72edc333a563dd692dfe989ca35	-	-	-	-	-	-	-	-	non-mobilizable	CP034740	0.0567566	Escherichia coli	AF232	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_B948:AB440	1	5887	46.59419058943435	b3110948dc4563147632c1280a89017d	rep_cluster_2350	CP041342_00001	-	-	-	-	MOBF,MOBP	KT950740,NZ_CP012632	mobilizable	AF197335	0.0492808	Escherichia coli	AB440	-	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
TEA_B948:AA903	3	6516	50.629220380601595	e4fdd7ec0c8ecb6472b2f6f43554aa4d	-	-	-	-	-	-	-	-	non-mobilizable	CP019138	0.052117	Brevirhabdus pacifica	AA903	-	genus	Brevirhabdus	genus	Brevirhabdus	-	-	-
TEA_B948:novel_7816763b7af8ff7516c3a6e029b263f6	1	16989	48.431337924539406	7816763b7af8ff7516c3a6e029b263f6	-	-	MOBC	NC_009779_00002	MPF_T	NC_013284_00016,NC_005814_00011,NC_005814_00013,NC_010726_00014	-	-	conjugative	AE017044	0.0621044	Yersinia pestis biovar Microtus str. 91001	novel_7816763b7af8ff7516c3a6e029b263f6	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_B948:AG884	1	2680	36.6044776119403	8addd335f1c0adea279ac2fa4a4e249f	-	-	-	-	-	-	-	-	non-mobilizable	CP034391	0.0174761	Escherichia coli	AG884	AQ940	genus	Escherichia	genus	Escherichia	-	-	-
TEA_B952:AF190	7	17160	56.11888111888112	ae549aa1052046513cdefe9aa4a3539c	-	-	-	-	-	-	-	-	non-mobilizable	CP019281	0.054149	Escherichia coli	AF190	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_B952:AF232	1	6738	52.30038587117839	f3cd88f22e17709b4c17b697366666cd	-	-	-	-	-	-	-	-	non-mobilizable	CP034740	0.0411434	Escherichia coli	AF232	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_B977:AB448	1	6760	46.25739644970414	f8a26d1d7728d5cf2a2af6a6e9f84015	rep_cluster_2350	CP035723_00002	-	-	-	-	MOBF,MOBP,MOB_unknown	CP000430,KY421937,NC_019986	mobilizable	MG948564	2.38274e-05	Salmonella enterica subsp. enterica serovar Enteritidis	AB448	AK234	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
TEA_B977:AF232	2	3887	56.77900694623103	a1a302dd424bf7dde02be7e25224253b	-	-	-	-	-	-	-	-	non-mobilizable	CP034740	0.051337	Escherichia coli	AF232	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_B996:AF232	1	4947	56.74145947038609	173bc77f61caa1129dc626bf76d374ff	-	-	-	-	-	-	-	-	non-mobilizable	CP034740	0.0595738	Escherichia coli	AF232	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_BS117:AA176	9	140610	49.67000924543063	a8d53d4a41394684366023ae60bcc21b	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF,MOBP	NC_017627_00068,NC_021819_00066	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	-	-	conjugative	KR827684	0.00103256	Escherichia coli	AA176	AH858	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
TEA_BS117:AB443	1	4196	42.92183031458532	5edd363a99956cb708011eb16d594846	rep_cluster_2350	CP041342_00001	-	-	-	-	MOBF,MOBP,MOB_unknown	KT950740,NZ_CP012632,NC_019986	mobilizable	KM107838	0.00157453	Escherichia coli	AB443	AK225	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
TEA_BS11:AA176	24	170057	49.72391609871984	773f95c223d62cf7a96faf4377d21749	IncFIA,IncFIC,IncFIB,rep_cluster_2244	MK878891_00042,AY458016,000095__NZ_CP014273_00094,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_019094_00068,NC_008460_00107,NC_010488_00021,NC_009837_00049,NC_007675_00027,NC_013437_00116,NC_017639_00094,NC_013437_00116,NC_019072_00073,NC_010409_00124,NC_019094_00090,08-5333_00200,NC_017639_00100,NC_017639_00100	MOBF	KM107838	conjugative	CP033091	0.00628226	Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	AA176	AH856	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 30761100; 19482926; 15781495; 20851899; 16257053
TEA_BS11:AB238	1	1964	56.924643584521384	d72bc11c598ff19fe68f330054a129b1	ColpVC	JX133088	-	-	-	-	MOBP	AB290882	mobilizable	AY178821	0.00205363	Salmonella enterica subsp. enterica serovar Enteritidis	AB238	AJ937	order	Enterobacterales	order	Enterobacterales	-	-	-
TEA_BS11:AG294	1	41087	50.60481417479981	cd89c1df5b7758c9eded0fb2106836a9	-	-	-	-	-	-	-	-	non-mobilizable	CP019906	0.0293293	Escherichia coli	AG294	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_BS11:AA190	6	21143	51.63884027810623	11e583bbb1259ddce8dbc7c1f6088e85	-	-	-	-	MPF_F	NC_017639_00094	MOBP	AP014804	mobilizable	CP045020	0.0547827	Klebsiella pneumoniae subsp. pneumoniae	AA190	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_BS11:AC509	1	6647	48.60839476455544	b31c250ce13b821d8e1927a5499ee80c	rep_cluster_2350	CP035723_00002	MOBP	NC_019076_00002	-	-	MOBP	MF083142	mobilizable	CP012628	0.000143503	Escherichia coli	AC509	AL724	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
TEA_BS142:AA176	13	145601	51.198137375430115	b76cd73a44cdb37bfe5bad90adf42ccf	IncFIA,IncFIC,IncFIB,IncQ1	000136__AP014877_00014,CP014493_00001,000095__NZ_CP014273_00094,000195__NC_013728_00014	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	-	-	conjugative	KP398867	0.000656154	Escherichia coli	AA176	AH856	phylum	Pseudomonadota	phylum	Pseudomonadota	phylum	Pseudomonadota	11254626; 25389419; 2653965; 19482926; 15781495; 20851899; 16257053
TEA_BS142:AC511	1	5153	45.74034542984669	c06809fe88cbefafcbd0a1db63aa699b	rep_cluster_2350	CP041342_00001	MOBF	CP019897	-	-	MOB_unknown	CP010128	mobilizable	HE616530	0.000458924	Shigella sonnei 53G	AC511	AL729	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
TEA_BS142:AD481	1	4078	44.01667484060814	444630d0db59099df6514afcc71b38e5	rep_cluster_2350	CP035723_00002	-	-	-	-	MOBF,MOBP,MOB_unknown	CP000430,CP010136,NC_019986	mobilizable	FJ004637	0.00378594	Escherichia coli	AD481	AN052	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
TEA_BS142:AA977	1	5165	47.531461761858665	ec230aaddfcbf70c580b24f8cb427cb8	rep_cluster_2131	CP010218_00004	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	CP023898	0.00467416	Escherichia coli	AA977	AJ479	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
